DateTime,User,Tweet
2022-12-29 09:26:20+00:00,livemint,"""It is one-of-a-kind campaign where we are experimenting with newer ways to integrate technology in brand stories,"" Vivek Mohan Sharma, head of branded content at Reliance-owned Viacom18, the company that owns Colors said.

(@VaruniKhosla reports)

https://t.co/fBrua8dwLZ"
2022-12-29 09:20:11+00:00,EconomicTimes,"In 2 decades with #MukeshAmbani as chairman, RIL's mcap has grown at 20.6% CAGR &amp; profits by an annualised rate of 16.4%, Credit &amp; care &amp; value unlocking likely to bring back the mojo to the stock as comparisons with Gautam Adani further intensifies.

https://t.co/rpPA0eg6Fa"
2022-12-29 09:05:30+00:00,bqprime,"#RIL Chairman #MukeshAmbani discusses the importance of new leadership at #Reliance to tap into the next cycle of growth. 

Read: https://t.co/O5N6ZOAlv7 https://t.co/oXZmYb8o5D"
2022-12-29 09:00:15+00:00,DeccanHerald,"""The end of 2022 is when #Reliance will have crossed the half-way mark of its Golden Decade. In 5 yrs from now, Reliance will complete its 50 yrs,"" Ambani said.

#BusinessNews #Ambani #Reliance #RelianceGroup #AkashAmbani #AnantAmbani #IshaAmbani #Jio https://t.co/ijCboSxFKW"
2022-12-29 07:48:11+00:00,bqprime,"Why #RIL Chairman #MukeshAmbani believes the next 25 years are going to be the most transformational in the history of India? 

Read: https://t.co/OYrUAp5edg https://t.co/0TfptP8izY"
2022-12-29 07:34:11+00:00,livemint,"Ambani said Reliance continues to build its oil-to-chemical business.

https://t.co/22O5jLR4lZ"
2022-12-29 07:27:41+00:00,bqprime,"#RIL chairman #MukeshAmbani spells out what he expects from the group's telecom to clean energy businesses now helmed by his children.

https://t.co/oboMrexMd0"
2022-12-29 07:15:38+00:00,bsindia,"Reliance Industries topped the growth charts in the last 20 years. Read how the company performed under the chairmanship of Mukesh Ambani in the two decades

@KantKrishna30 reports

#RelianceIndustries #RIL #MukeshAmbani #Companies
https://t.co/nHnB7t6u17"
2022-12-29 07:10:11+00:00,EconomicTimes,"#RelianceJio will complete the rollout of its #5G services in India by 2023, Reliance Industries (RIL) chairman Mukesh Ambani said on Wednesday.

https://t.co/dgkJkR8Xxj"
2022-12-29 06:37:58+00:00,bqprime,"At a time when ""uncertainty, volatility, and even regression can be seen in many parts of the world, India is regarded as a ""shining spot"", says #Reliance chairman #MukeshAmbani.

https://t.co/Qm30abmveW"
2022-12-29 06:22:18+00:00,EconomicTimes,"Reliance Industries Chairman and Managing Director #MukeshAmbani Wednesday said that Reliance will grow bigger and bigger like the proverbial banyan tree.

https://t.co/IgfGJfxJSk"
2022-12-29 05:58:46+00:00,CNNnews18,"""Our mission is to make India prosperous,"" says Mukesh Ambani, Chairman and Managing Director, Reliance Industries

#RelianceFamilyDay #MukeshAmbani #DhirubhaiAmbani https://t.co/WXkDc5067U"
2022-12-29 04:59:51+00:00,DeccanHerald,"We're living through time when world is beginning to see 21st Century as ‘India’s Century’. We can become a $40-tn economy by 2047, says #Ambani at #Reliance Family Day Function 2022.

Follow live: https://t.co/bKXfDh6Sxk"
2022-12-29 03:44:56+00:00,business,"The states hit hardest by blackouts in last week’s winter storm have significantly increased reliance on heating homes with electricity over the last decade, putting more strain on the power grid when temperatures plummet https://t.co/SNC59wG440"
2022-12-29 03:11:56+00:00,EconomicTimes,"#LeadStory | In 2 decades with #MukeshAmbani as chairman,RIL's mcap has grown at 20.6% CAGR &amp; profits by an annualised rate of 16.4%,Credit &amp; care &amp; value unlocking likely to bring back the mojo to the stock.

https://t.co/rpPA0egEuI"
2022-12-29 02:48:27+00:00,bsindia,"20 years at Reliance helm | Mukesh Ambani redefined scale and business growth. Here's a look back at his journey

Viveat Susan Pinto and @sethusundar89 report

#RIL #RelianceIndustries #MukeshAmbani
https://t.co/YG8K3K6ujO"
2022-12-29 02:15:47+00:00,bsindia,"Reliance Industries topped the growth charts in the last 20 years. Read how the company performed under the chairmanship of Mukesh Ambani in the two decades

@KantKrishna30 reports

#RelianceIndustries #RIL #MukeshAmbani
https://t.co/nHnB7t71QF"
2022-12-29 02:10:12+00:00,EconomicTimes,"Reliance Industries will grow bigger and bigger like the proverbial banyan tree, Chairman and Managing Director Mukesh Ambani said today.

https://t.co/sRwWx5PbJs"
2022-12-29 01:15:00+00:00,livemint,"For now, five Tata companies, two Adani firms and Reliance Industries are part of NSE 50. This should change in the coming years.

(@varunstweets reports)

https://t.co/KnLWLnQMA4"
2022-12-28 22:20:11+00:00,EconomicTimes,"Reliance Jio today announced the launch of 5G services across 11 cities namely Lucknow, Trivandrum, Mysuru, Nashik, Aurangabad, Chandigarh, Mohali, Panchkula, Zirakpur, Kharar and Derabassi.

https://t.co/tjhsOXBWoL"
2022-12-28 22:15:30+00:00,livemint,"For now, five Tata companies, two Adani firms and Reliance Industries are part of NSE 50. This should change in the coming years.

(@varunstweets reports)

https://t.co/KnLWLnQMA4"
2022-12-28 18:15:30+00:00,livemint,"For now, five Tata companies, two Adani firms and Reliance Industries are part of NSE 50. This should change in the coming years.

(@varunstweets reports)

https://t.co/KnLWLnQMA4"
2022-12-28 16:25:11+00:00,bsindia,"20 years at Reliance helm | Mukesh Ambani redefines scale, business growth, 
Viveat Susan Pinto &amp; @sethusundar89 write

#RIL #RelianceIndustries #MukeshAmbani

https://t.co/YG8K3K5Wug"
2022-12-28 14:46:37+00:00,EconomicTimes,"Reliance Industries will grow bigger and bigger like the proverbial banyan tree, Chairman and Managing Director Mukesh Ambani said today. He was speaking on the occasion of his 20 years at the helm of Reliance Industries.
https://t.co/690DdRykyb"
2022-12-28 14:45:30+00:00,livemint,"For now, five Tata companies, two Adani firms and Reliance Industries are part of NSE 50. This should change in the coming years.

(@varunstweets reports)

https://t.co/KnLWLnQMA4"
2022-12-28 13:32:03+00:00,indiatvnews,"Reliance Jio launches True 5G services in 11 cities, terms it 'largest multi-state rollout' so far 

#RelianceJio
#True5G

https://t.co/1kM8zJaMQt"
2022-12-28 13:30:39+00:00,bsindia,"After the successful launch of 5G networks in India, Reliance Jio has now launched TRUE 5G services in 11 cities as a New Year tribute to Jio users.

#RelianceJio #5G #5GinIndia

https://t.co/137EkVilcY"
2022-12-28 11:00:37+00:00,bsindia,"Mukesh Ambani, who took over the reins of #RIL after the sudden demise of his father #DhirubhaiAmbani, completes 20 years at the helm during which the company saw a 17-fold jump in revenues and has become a global conglomerate.

#MukeshAmbani 

https://t.co/HcUee9QHxh"
2022-12-28 11:00:14+00:00,DeccanHerald,"In 20 years that #MukeshAmbani has been at the helm of #Reliance, the company has re-entered #telecom business, diversified in #retail and new energy, and raised a record Rs 2.5 lakh crore selling minority interests during #Covid lockdown.  https://t.co/iqv14BfH7U"
2022-12-28 10:16:40+00:00,indiatvnews,"Mukesh Ambani completes 20 years at helms of Reliance: A look at RIL's outstanding journey under him 

#MukeshAmbani
#RelianceIndustries

https://t.co/Wr3RkxYDfT"
2022-12-28 09:31:04+00:00,bsindia,"Mukesh Ambani, who took over the reins of #RIL after the sudden demise of his father Dhirubhai Ambani, completes 20 years at the helm during which the company saw a 17-fold jump in revenues and has become a global conglomerate.

#MukeshAmbani #Reliance

https://t.co/HcUee9QHxh"
2022-12-28 08:35:07+00:00,bsindia,"Reliance Jio went down in some parts of India on Wednesday as users reported facing issues with the network.

#RelianceJio #Internet #Jio #India

https://t.co/pTVIDeqgPg"
2022-12-28 07:32:04+00:00,indiatvnews,"Jio Down: Many users complained about the network- All you need to know

#jiodown #downdetector #jionetwork #5G #jiotrue5G #telecom #trai #networkissue #indiantelecom #technews #indiatvtech 

https://t.co/3wHTxOIfaL"
2022-12-28 03:55:02+00:00,livemint,"For now, five Tata companies, two Adani firms and Reliance Industries are part of NSE 50. This should change in the coming years.

(@varunstweets reports)

https://t.co/KnLWLnRkpC"
2022-12-28 02:40:11+00:00,bsindia,"Reliance Retail is expected to convert METRO Cash &amp; Carry India stores into its B2B stores, which cater to bulk buyers and kirana stores.

@sharleendsouza reports

#RelianceRetail #METROCash #Companies
https://t.co/mFb1WMHd1N"
2022-12-28 01:20:10+00:00,EconomicTimes,"Xiaomi India on Tuesday announced its partnership with Reliance Jio to offer the telco's 'True 5G' experience to its consumers. 

https://t.co/cy9V5Y0m81"
2022-12-27 22:01:27+00:00,EconomicTimes,"The package costs Rs. 2023, and the long-term advantages that the new Jio prepaid plan is giving to subscribers look like a very reasonable deal. 

https://t.co/RntFbkebJP"
2022-12-27 15:10:20+00:00,bsindia,"Reliance Retail is expected to convert METRO Cash &amp; Carry India stores into its B2B stores, which cater to bulk buyers and kirana stores.

@sharleendsouza reports

#RelianceRetail #METROCash

https://t.co/mFb1WMHd1N"
2022-12-27 14:10:09+00:00,bsindia,"Reliance Jio has announced a partnership with Xiaomi India enabling Xiaomi and Redmi smartphone users to access seamless 5G connectivity.

@Subhayan_ism reports

#RelianceJio #XiaomiIndia #Redmi #5G 

https://t.co/ZOniJDrimY"
2022-12-27 11:45:14+00:00,bsindia,"Reliance Jio announced its partnership with Xiaomi India to offer a 'True 5G' experience to all Xiaomi 5G smartphone consumers.

#RelianceJio #5G #Xiaomi #Smartphone

https://t.co/JDyi6PeaFt"
2022-12-27 01:40:11+00:00,EconomicTimes,"Reliance Jio has launched its 5G services in Andhra Pradesh with an investment of Rs6,500 crore, starting with the cities of Tirumala, Visakhapatnam, Vijayawada &amp; Guntur.

https://t.co/LxsmwFmZCX"
2022-12-26 18:17:37+00:00,bsindia,Reliance Jio on Monday announced it has launched True 5G services in Andhra Pradesh https://t.co/GcHm22fYJ4
2022-12-26 12:06:45+00:00,IndiaToday,"2022 was a big year for tech in India; from 5G to UPI, a lot happened. Let’s take a look. The arrival of the 5G rollout might be the most important milestone that India achieved in the year 2022.

#NewsMo #5GNetwork #UPI #Tech #ERupee #Airtel #Jio #India https://t.co/ur0ePSC8jm"
2022-12-26 06:19:28+00:00,livemint,"Axis Bank, HDFC Bank to RIL: Experts recommend 5 heavyweight stocks to buy

Read here: https://t.co/Rf8elOSrMY https://t.co/6O6awi9EIV"
2022-12-26 02:30:00+00:00,livemint,"Reliance Industries' valuation tanked ₹42,994.44 crore to ₹16,92,411.37 crore. State Bank of India's market valuation tumbled ₹26,193.74 crore to ₹5,12,228.09 crore.

https://t.co/wmALqYnKqH"
2022-12-25 22:30:30+00:00,livemint,"Reliance Industries' valuation tanked ₹42,994.44 crore to ₹16,92,411.37 crore. State Bank of India's market valuation tumbled ₹26,193.74 crore to ₹5,12,228.09 crore.

https://t.co/wmALqYnKqH"
2022-12-25 17:15:30+00:00,livemint,"Reliance Industries' valuation tanked ₹42,994.44 crore to ₹16,92,411.37 crore. State Bank of India's market valuation tumbled ₹26,193.74 crore to ₹5,12,228.09 crore.

https://t.co/wmALqYnKqH"
2022-12-25 13:45:30+00:00,livemint,"Reliance Industries' valuation tanked ₹42,994.44 crore to ₹16,92,411.37 crore. State Bank of India's market valuation tumbled ₹26,193.74 crore to ₹5,12,228.09 crore.

https://t.co/wmALqYnKqH"
2022-12-25 13:25:04+00:00,EconomicTimes,"President Xi Jinping wants China to accelerate efforts to achieve self-reliance in agricultural technology, identifying seed development and core equipment among areas to focus on, state media reported.

https://t.co/0PsROr4wcq"
2022-12-25 05:30:00+00:00,livemint,"What’s making ICICI Securities see a new 52-week high for Reliance Industries?

Read here: https://t.co/WJXVzraTiI https://t.co/bMar5liUt5"
2022-12-25 05:22:29+00:00,bsindia,"The combined market valuation of the top 10 valued firms eroded by Rs 1,68,552.42 crore last week, with Reliance Industries taking the biggest hit in an overall weak broader market. https://t.co/1sGhQDkwPV"
2022-12-25 05:15:30+00:00,livemint,"Reliance Industries' valuation tanked ₹42,994.44 crore to ₹16,92,411.37 crore. State Bank of India's market valuation tumbled ₹26,193.74 crore to ₹5,12,228.09 crore.

https://t.co/wmALqYnKqH"
2022-12-25 02:00:31+00:00,livemint,"When bids for Reliance Capital closed on Wednesday, the Hinduja group, led by IndusInd International Holdings, was placed second, with an offer of ₹8,110 crore. 

(@GopikaGopa reports)

https://t.co/Xz2x8fxMu2"
2022-12-24 22:00:00+00:00,livemint,"When bids for Reliance Capital closed on Wednesday, the Hinduja group, led by IndusInd International Holdings, was placed second, with an offer of ₹8,110 crore. 

(@GopikaGopa reports)

https://t.co/Xz2x8fxMu2"
2022-12-24 15:15:00+00:00,livemint,"When bids for Reliance Capital closed on Wednesday, the Hinduja group, led by IndusInd International Holdings, was placed second, with an offer of ₹8,110 crore. 

(@GopikaGopa reports)

https://t.co/Xz2x8fgb5s"
2022-12-24 11:45:00+00:00,livemint,"When bids for Reliance Capital closed on Wednesday, the Hinduja group, led by IndusInd International Holdings, was placed second, with an offer of ₹8,110 crore. 

(@GopikaGopa reports)

https://t.co/Xz2x8fgb5s"
2022-12-24 07:30:00+00:00,livemint,"When bids for Reliance Capital closed on Wednesday, the Hinduja group, led by IndusInd International Holdings, was placed second, with an offer of ₹8,110 crore. 

(@GopikaGopa reports)

https://t.co/Xz2x8fgb5s"
2022-12-24 05:10:10+00:00,EconomicTimes,"The bankruptcy court approved a resolution plan by the Swan Energy-Hazel Mercantile team consortium for Anil Ambani-owned Reliance Naval and Engineering Ltd (RNEL)
https://t.co/eKQglRdkHz"
2022-12-24 02:50:00+00:00,livemint,"When bids for Reliance Capital closed on Wednesday, the Hinduja group, led by IndusInd International Holdings, was placed second, with an offer of ₹8,110 crore. 

(@GopikaGopa reports)

https://t.co/Xz2x8fgb5s"
2022-12-24 01:30:00+00:00,livemint,"JioBusiness, the enterprise arm of Reliance Jio will deploy and manage SD-WAN or software defined wide area network for IOCL across its 7,200 retail outlets for five years, the country’s largest carrier said in a statement.

(@gulveenaulakh_ reports)

https://t.co/O8XxXaSUDw"
2022-12-24 01:15:00+00:00,livemint,"This deal is expected to have synergies with Reliance’s investments and strategic initiatives in drone, industrial safety &amp; security, and robotics areas.

https://t.co/thJL7zjgxv"
2022-12-23 20:00:01+00:00,livemint,"Reliance already has a 20% market share in the organised food and grocery business, with a store count nearly triple that of its nearest competitor 'More' in the segment.

https://t.co/tGBUiYE8RF"
2022-12-23 13:55:19+00:00,bsindia,"Hinduja group revised its bid for Reliance Capital by offering a net present value of Rs 9,000 crore for the company, after the e-auction ended earlier this week.

@ParagonWorli18 reports

#Hindujagroup #RelianceCapital

https://t.co/UyGYeeieeX"
2022-12-23 06:50:11+00:00,EconomicTimes,"As part of the deal, Reliance will get 31 large format stores in 21 cities as well as the realty portfolio that includes six store-occupied properties, 3,500 staff and Metro's 3 million B2B customers, of which 1 million are frequent buyers.

https://t.co/B52ot7Yeue"
2022-12-23 03:25:12+00:00,livemint,"Reliance Retail Ventures Ltd, a unit of India’s most valuable firm, on Thursday acquired the India business of German retailer Metro AG, including 31 wholesale stores, for ₹2,850 crore in cash.

(@suneeratweets reports) 

https://t.co/GR7Ng0W6gU"
2022-12-23 03:19:17+00:00,bqprime,"Reliance Projects and Property Management Services, a subsidiary of #Jio, completes 100% stake acquisition in #RelianceInfratel. 

https://t.co/y5fSDbULEU"
2022-12-23 03:02:25+00:00,livemint,"RIL snaps up Metro’s India wholesale biz | Bid to sully India’s tag as pharmacy of world: Mandaviya | EVs won’t need sops once mkt share surges: Ola’s Aggarwal

Read today's Mint e-paper here: https://t.co/rLKV3CP5Ki https://t.co/utYrUDEnRu"
2022-12-23 02:43:48+00:00,livemint,"#MintTopOfTheMorning | ☕ RIL  snaps  up  Metro’s India wholesale biz

Subscribe to the #MintNewsletter here: https://t.co/lxtkc8Hwkl 

https://t.co/CxgFQMz13b"
2022-12-22 23:45:00+00:00,livemint,"JioBusiness, the enterprise arm of Reliance Jio will deploy and manage SD-WAN or software defined wide area network for IOCL across its 7,200 retail outlets for five years, the country’s largest carrier said in a statement.

(@gulveenaulakh_ reports)

https://t.co/O8XxXbavv4"
2022-12-22 21:15:00+00:00,livemint,"Reliance already has a 20 per cent market share in the organised food and grocery business, with a store count nearly triple that of its nearest competitor 'More' in the segment.

https://t.co/tGBUiYVKgf"
2022-12-22 20:50:10+00:00,EconomicTimes,"Under the NCLT’s directions, Jio was to deposit Rs 3720 crore in an SBI escrow amount, to be distributed among Rcom’s lenders at a later date.

https://t.co/yGneF6PAQQ"
2022-12-22 19:26:55+00:00,bsindia,"The tribunal had asked Jio to deposit Rs 3,720 crore in the State Bank of India (SBI) escrow account to complete the acquisition of RCOM's tower and fibre assets https://t.co/2GYHNOcTnO"
2022-12-22 19:14:54+00:00,bsindia,"Reliance Projects and Property Management Services, a subsidiary of telecom major Jio, has completed 100 per cent stake acquisition in Reliance Infratel for about Rs 3,725 crore, Reliance Industries Limited said on Thursday. https://t.co/jxQnXdIJJQ"
2022-12-22 17:19:59+00:00,IndiaToday,"Reliance goes shopping!
RIL Retail buys German retailer.

@sakshibatra18 spoke to Gaurang Shah head-investment strategist, Geojit Financial Services.
Here's what he said
#BusinessToday| @AabhaBakaya https://t.co/4hddfVbzZh"
2022-12-22 17:12:04+00:00,IndianExpress,"RIL arm acquires 23.3 pc stake in US-based Exyn Technologies for USD 25 mn

https://t.co/FcguFMvUH3"
2022-12-22 17:07:30+00:00,bqprime,"#RelianceProjects and Property Management Services, a subsidiary of #Jio, has completed 100% stake acquisition in #RelianceInfratel for about Rs 3,725 crore. 

https://t.co/y5fSDbULEU"
2022-12-22 17:02:01+00:00,livemint,"Reliance Jio has deposited ₹3,720 crore into an escrow account as part of the process to acquire the assets of Reliance Infratel, the tower and fibre business of bankrupt Reliance Communications, under an insolvency process.

(@gulveenaulakh_ reports) 

https://t.co/qJgXfiF2UR"
2022-12-22 16:57:02+00:00,IndiaToday,"Reliance goes shopping!
Fixed Deposits: Back in favour again.
FICCI chief #EXCLUSIVE on BTTV
Watch this &amp; more on #BusinessToday with @AabhaBakaya 
#ITLivestream
 https://t.co/07frBIgwI6"
2022-12-22 16:25:57+00:00,bsindia,"Reliance Strategic Business Ventures Limited, a wholly owned subsidiary of Reliance Industries acquired 23.3%  stake in Exyn Technologies for a total consideration of $25 million.

#RelianceIndustries #StockMarket

https://t.co/X1x5GXYje1"
2022-12-22 16:02:55+00:00,EconomicTimes,"Reliance Industries on Thursday announced the acquisition of a 23.3% stake in US-based technology company Exyn Technologies Inc for $25 million.
 
https://t.co/lrkQGZULId"
2022-12-22 16:02:18+00:00,EconomicTimes,"Reliance Jio has deposited Rs 3,720 crore in a SBI escrow account, marking the completion of its acquisition of Reliance Infratel Limited (RITL), the tower business under Reliance Communications currently undergoing insolvency proceedings. https://t.co/pH3kZQXn4L"
2022-12-22 15:40:00+00:00,livemint,"This deal is expected to have synergies with Reliance’s investments and strategic initiatives in drone, industrial safety &amp; security, and robotics areas.

https://t.co/thJL7zARW5"
2022-12-22 14:50:00+00:00,livemint,"JioBusiness, the enterprise arm of Reliance Jio will deploy and manage SD-WAN or software defined wide area network for IOCL across its 7,200 retail outlets for five years, the country’s largest carrier said in a statement.

(@gulveenaulakh_ reports)

https://t.co/O8XxXaSUDw"
2022-12-22 14:00:00+00:00,bqprime,"#Reliance Projects and Property Management Services, a subsidiary of #Jio, deposits Rs 3,720 crore in an #SBI escrow account to acquire #RelianceInfratel.  

https://t.co/bJi3VTI31W"
2022-12-22 12:28:05+00:00,EconomicTimes,"Cyrus Mistry car crash | Dr Anahita Pandole, who was driving the car on the day of the accident, discharged from Sir HN Reliance Foundation Hospital after 108 days
Maharashtra's Palghar Police had registered a case against Dr Pandole for negligence &amp; rash driving.
(ANI) https://t.co/CkK9KYdfCP"
2022-12-22 12:10:11+00:00,EconomicTimes,"After reporting a high double-digit growth in the operating profit for two consecutive quarters, RIL’s mainstay oil-to-chemicals (O2C) business reported a 6% decline in the September quarter, weighed down by the additional cess.

https://t.co/nlP5Clz4m3"
2022-12-22 11:10:00+00:00,livemint,"IOC said that Jio will connect 7,200 IOC sites with SD-WAN managed service solution, zero-touch provisioning and 24x7 real-time monitoring.

https://t.co/Fqt2rSQGQ4"
2022-12-22 11:00:01+00:00,livemint,"A subsidiary of billionaire Mukesh Ambani's Reliance Jio has deposited ₹3,720 crore in an escrow account to acquire assets of Reliance Infratel. 

(@gulveenaulakh_ reports) 

https://t.co/evCwnJWmuE"
2022-12-22 10:49:26+00:00,bqprime,"#Jio bags order from #IndianOilCorporation to provide managed networks services for its retail outlets.

For the latest news and updates, visit https://t.co/gXeGqKxXTH https://t.co/UoE12gVmyJ"
2022-12-22 10:37:27+00:00,EconomicTimes,"#PollOfTheDay | Do you forecast near monopoly of #Reliance in hyperlocal market with addition of #MetroAG's #India biz?
#ETPoll
🛰️ Catch the day's latest news and updates ➠ https://t.co/PlCKwXQMWd"
2022-12-22 10:04:22+00:00,bqprime,"#Reliance Projects and Property Management Services, a subsidiary of #Jio, deposits Rs 3,720 crore in an #SBI escrow account to acquire #RelianceInfratel.  

https://t.co/bJi3VTIARu"
2022-12-22 09:46:22+00:00,bsindia,"Indian Oil Corporation has selected Reliance Jio's managed network services to connect a fifth of its petrol pump network.

#IndianOil #RelianceJio

https://t.co/PWHyBU8Cww"
2022-12-22 08:10:13+00:00,bsindia,"Reliance Jio has deposited Rs 3,720 crore in SBI escrow account to acquire mobile tower and fibre assets of Reliance Infratel.

#RelianceJio #SBI #RelianceInfratel #Telecom

https://t.co/BiJnXWAPg1"
2022-12-22 07:30:00+00:00,bqprime,"#Reliance agrees to buy #Metro’s Indian unit for 28.5 billion rupees, as the nation’s biggest retailer run by billionaire #MukeshAmbani further expands his footprint. 

https://t.co/vwjfUTXLSH"
2022-12-22 07:24:28+00:00,IndiaToday,"Reliance Industries has agreed to acquire Metro Cash &amp; Carry India for Rs 2,850 crore, the two companies announced on Thursday.
https://t.co/r04pWI6S5y"
2022-12-22 05:07:24+00:00,IndianExpress,"#RIL retail arm buys #METRO Cash &amp; Carry for Rs 2,850 crore

https://t.co/HL4ynYAUzn #ExpressBiz"
2022-12-22 04:49:03+00:00,ndtv,"Mukesh Ambani's Reliance To Acquire Metro AG's India Business For ₹ 2,850 Crore https://t.co/az0V7Y7jm7 https://t.co/ekhKbBcG43"
2022-12-22 03:41:12+00:00,livemint,"Reliance already has a 20 per cent market share in the organised food and grocery business, with a store count nearly triple that of its nearest competitor 'More' in the segment.

https://t.co/tGBUiYWi5N"
2022-12-22 03:15:56+00:00,bsindia,"#MarketsWithBS | From Sula Vineyards to RIL, here are the stocks to watch in today's trade 

#StockMarket #Markets #StocksInFocus 
https://t.co/GAyRpRp715"
2022-12-22 02:57:07+00:00,business,Germany is set to boost its reliance on coal as it battles an unprecedented energy crisis — even at the expense of its ambitious climate goals https://t.co/PPBnYAm3o2
2022-12-22 02:53:02+00:00,bqprime,"#Reliance agrees to buy #MetroAG’s Indian unit for 28.5 billion rupees, as the nation’s biggest retailer run by billionaire #MukeshAmbani further expands his footprint.

https://t.co/vwjfUUfmKf"
2022-12-22 02:11:22+00:00,IndianExpress,"Through this acquisition, Reliance Retail will get access to a network of 31 large format Metro India stores located in prime locations across key cities #ExpressBiz 

https://t.co/HL4ynYAUzn"
2022-12-22 01:50:54+00:00,bsindia,"Ahmedabad-based Torrent group has won the race to acquire Reliance Capital after making an offer of Rs 8,640 crore for the company in an auction.

@ParagonWorli18 reports

#Torrent #RelianceCapital #Companies
https://t.co/U84iA3FHCd"
